f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[67 43],[ 34 104],98,52,[74 91],[34  7],[[34 30 94 60]; [38 64 76 48]],[[ 86 100  50  56]; [ 68  96   6  80]],[72 70 94 72],[86 90  2 10]
[101   5],[104  74],42,68,[0 1],[ 4 86],[[26 70 92 72]; [12 84 36 28]],[[ 0 46 24 86]; [94  6 88 88]],[44 12 44  0],[10 16 52  8]
[87 24],[ 97 103],4,66,[74  2],[104  77],[[100  46  32  26]; [ 48  16  14   4]],[[76 92 84  6]; [88 18  6 48]],[40 10 48 32],[70  6  8 30]
[28 24],[49 12],74,90,[ 3 15],[19 35],[[80 52 24 52]; [14  6 18 14]],[[76 22 16 32]; [66 60 28 66]],[92 74 18 38],[ 46  10  62 104]
[28 53],[73 86],28,40,[16 68],[80 15],[[46 14 12 92]; [98 66 54 14]],[[70 22 36 62]; [54 92 58 74]],[ 2 84 82 18],[34 78  6 84]
[59 36],[18 52],18,62,[77 91],[91 30],[[96 82 30  6]; [62 64 34  6]],[[100 102  64  76]; [  8  16  62  56]],[92 14 58 26],[32 22 16 68]
[85 36],[51 73],4,82,[ 9 76],[13 44],[[40 12 36 82]; [70  6  4 48]],[[ 62  32 100  20]; [  0  14  72   6]],[40 52 46 24],[38 62 60 72]
[80 85],[43 61],44,28,[68  1],[42 41],[[92 32 38  8]; [ 0 80 94 68]],[[10 28 92 40]; [24 50 48 48]],[42  4 88 64],[ 76  10 100  94]
[97 50],[ 1 30],38,46,[74 14],[17 63],[[80 20 22 24]; [60 22 86 42]],[[ 44   6  36  30]; [ 62  16 104  40]],[30 30 78  6],[ 2 34 90 70]
[97 31],[23 25],70,56,[74 99],[29 82],[[ 6 40 24 18]; [18 42 20 32]],[[ 44  40  18  72]; [ 42 102  62  46]],[ 8 80 34 56],[ 18 100  44  90]
[72 79],[29 84],52,74,[32 83],[79 27],[[44 46 28 98]; [ 4 94 30 52]],[[24 86 60 18]; [32 80 50 50]],[ 96  62 104  12],[22 34 62 64]
[11 15],[21 33],2,68,[15 76],[18 36],[[82 16 78 70]; [40 12 22 20]],[[ 2 96 16 10]; [70 54 92 12]],[50 56 36 72],[64 98 88  0]
[50 31],[ 44 103],82,84,[ 3 59],[56 44],[[82 42 76  6]; [84 72 68 50]],[[ 54  28  80   8]; [  8  40  94 102]],[14 82 90 54],[36  2 38 72]
[19  4],[37 54],82,14,[63 19],[104  27],[[56 70 16 50]; [10  8 38 64]],[[88 18 42 50]; [84 84 80 84]],[78 40 76 38],[94 44 36 70]
[52 63],[38 38],22,42,[92 19],[92 56],[[94  2 68 90]; [66 94 36 88]],[[ 2 36 30  6]; [98 64 50 50]],[100  70  74  68],[ 2  2 50 62]
[92 68],[73 90],2,16,[40 53],[14 44],[[96 46 38 86]; [66 62 36 20]],[[76 12 18 30]; [18 58 84 22]],[86 34 54 16],[ 4 28 80 98]
[61 36],[12  6],24,98,[31 84],[61 21],[[100  44   0  40]; [ 90  54  24  26]],[[16 30 64 24]; [74 92 18 28]],[30 96  4 16],[ 80 100  78   0]
[87 32],[24 60],2,34,[102   8],[86 49],[[66 70 26 68]; [ 4 90 96 98]],[[104  98 100  74]; [ 58  20  92  10]],[100  64  16  98],[42  0 46 68]
[99 39],[4 6],92,46,[39 50],[84  7],[[40 68 96 34]; [36 44 44 44]],[[58  6 64 76]; [24 22  0 48]],[84 20 60 96],[22 92 70 12]
[99 64],[39 34],28,62,[ 7 22],[70 33],[[ 8 48 36 24]; [66 40 50 16]],[[70 34 82 58]; [36 28 28 38]],[14 44 82 66],[36 10 16 86]
[35 79],[57 13],96,20,[29 45],[73 65],[[ 44   8  82  34]; [ 42 102  72  14]],[[ 40  64 100  70]; [ 12   8  24  74]],[ 92 100  88  76],[94 90 40 72]
[30 23],[39 45],34,94,[18 71],[ 9 30],[[16 74 26 60]; [84 10 82 50]],[[ 24  26  86  30]; [ 22  82  82 100]],[34 18 20 58],[46 60 64 78]
[ 3 46],[81 85],78,82,[88  5],[96 26],[[24 24 42 44]; [74 88 42 86]],[[50  4 28 86]; [78  4  8 24]],[22 62 70 46],[ 32  68  84 102]
[69 86],[10 48],4,80,[11 25],[96 80],[[86 52 18 96]; [68 14  8 52]],[[66 52 10 56]; [12 74  0 14]],[56 90 18 80],[10 36 64 12]
[71 14],[59 93],22,18,[ 8 26],[20 45],[[90 68 78 24]; [88 34 14  0]],[[98 86  2 74]; [ 6 96 52  0]],[  8   2  10 104],[54 36 66 26]
[10 86],[5 2],26,88,[55 76],[ 7 15],[[94 64 64 52]; [ 8 96 64 82]],[[ 16  60  84  44]; [ 10 104   0  94]],[ 42 102  52  74],[ 80  82 102  26]
[83 98],[61 56],4,64,[18 42],[ 85 101],[[38 26 24 22]; [36 34 70 12]],[[  8  62  62 100]; [ 42  76  78   0]],[94 74 92 56],[34 82 30 12]
[ 5 35],[26 15],58,10,[ 22 102],[6 1],[[74 54 82 52]; [90 24 12 60]],[[32 92 76 24]; [12 78  0 26]],[90 32 30 80],[86 90 44 44]
[65 80],[67 84],44,72,[92 32],[20 78],[[96 62 88 84]; [26 70 40 54]],[[36 60 98 14]; [68 68 52 34]],[92 36 62 14],[50 90 50  0]
[27 52],[20 72],66,70,[13 69],[10 66],[[ 38  14  66   4]; [ 66  38   6 104]],[[102  92  58  10]; [ 52  38  24   0]],[68 14 34 38],[84 42 74 84]
[96 54],[13 49],30,46,[ 3 74],[81 68],[[52 94 90 48]; [70 52 48 88]],[[78 28 76 82]; [40 84 18 82]],[  4  62  10 102],[94 28 96 78]
[ 5 81],[ 0 38],76,50,[97 29],[16 71],[[60 46 64 82]; [28 64 72 98]],[[68 66 56 10]; [ 2 30 70 36]],[ 22  62 104  64],[86  4 94 26]
[ 2 19],[87 75],32,34,[71 83],[ 6 72],[[18 18 66 44]; [56 56 28 68]],[[62  6 40 76]; [ 0 32 16 40]],[ 78  92 102  42],[ 46  44  22 100]
[61  6],[15 23],74,28,[87 42],[17 99],[[ 82  64  86  86]; [100  82  96  36]],[[88 46 10 68]; [50 36 94 86]],[ 24   4  76 100],[ 38  44 102   4]
[87 32],[62 26],14,86,[59 32],[95 58],[[34 50 24 74]; [54 48 24 92]],[[82 40 16  4]; [68 90 12 16]],[96 96 34 98],[12 56 44 74]
[66 69],[35 21],56,26,[ 70 103],[86  6],[[48 78 60 18]; [84 90 48 14]],[[100  80  14  90]; [ 56  44 100  14]],[ 44  56  68 102],[30 68 90 10]
[15  7],[45 36],36,10,[84  6],[55  6],[[ 36   6  84  44]; [ 42 104  48 100]],[[72 68 46 34]; [78 66 18 12]],[80 66 96 46],[10 20 68 46]
[17 18],[46 51],58,80,[ 4 61],[104  39],[[40 52 46 46]; [10 72 60  6]],[[ 18  64  30 100]; [ 86 102  60  86]],[74 60 14 12],[72  8 78 94]
[39 44],[49 13],62,32,[55 77],[55 75],[[66 40 22 96]; [46  6 54 64]],[[10 52 32 58]; [76 24 34 70]],[82 98 24 90],[78 12 10 36]
[35 62],[30 10],90,74,[71 38],[84 38],[[ 28  92  88  16]; [ 56  24 104  40]],[[ 12  58  20  70]; [ 40 100  72  90]],[62  8 84  6],[42  8  2 86]
[97 68],[86 60],12,32,[73 26],[62  1],[[ 18 104  50   8]; [ 96  12  82  24]],[[78 90 56 84]; [58 80 28 34]],[ 60  26  60 100],[98 50 84  6]
[28 85],[29 65],40,18,[90 99],[88 30],[[22 30 14 38]; [48  8 80 78]],[[  6  28 100  64]; [  8  82  90  26]],[ 58 102  12  32],[76 30 60 48]
[87  2],[37 39],82,64,[100  78],[80 30],[[40 38 96 66]; [32 44 48 36]],[[ 2 24 36 26]; [78  2 70 60]],[56 22 76 34],[34 70 34 66]
[48 57],[ 3 88],38,68,[ 1 42],[40 68],[[10 60 68 44]; [50  4 28  4]],[[30 12 48 18]; [ 2  8 86 28]],[10 80 82 28],[ 4 44 70 62]
[82 26],[14 89],36,46,[28 59],[80 43],[[52 56 54 60]; [70 52 16 78]],[[72 98 94 82]; [18 70  8 32]],[60 74 82 54],[88 66 12  0]
[64 89],[11 49],42,46,[38 63],[ 7 84],[[68 72 40 90]; [54 24 38  4]],[[ 48   8  80  64]; [104  32  86  78]],[60 56 66 94],[44 18  2 34]
[92  8],[68 49],92,2,[69 67],[102  92],[[18 76 38 20]; [56 46 10 38]],[[ 26  80 102  16]; [ 88  94  68  52]],[  2 104  20  10],[ 22  88 104  62]
[49 34],[12 92],54,22,[90 51],[40 58],[[46 60 28 88]; [38 56 66 86]],[[14 92 16 22]; [56 10 56 68]],[ 8 16  6  0],[12  6 74 24]
[36 47],[65 98],8,102,[66 79],[67 31],[[70 52 56  0]; [14 18 16 44]],[[16  2 82  6]; [82 62 82 82]],[14 86 54  2],[ 0 48 20 98]
[87 17],[86 68],18,4,[11 80],[11 32],[[ 16  16   8  38]; [ 48  48  80 100]],[[20 18 52 42]; [78 58 44 76]],[40  0 30 42],[40 64 42 86]
[ 34 104],[58 70],80,48,[75 85],[20 28],[[ 58 104  14  16]; [ 60  58  74  56]],[[66 44 84 62]; [46 52 88 72]],[58  6 90 86],[92 84 42 54]
[74 90],[47 29],6,18,[86 62],[12 53],[[ 44  88 104  18]; [ 86  10  82  44]],[[ 32  52 102  16]; [ 62  12  90  44]],[12 66 46 12],[42 56 88 14]
[81 71],[32 39],66,10,[54 11],[93 73],[[ 32  52  46  68]; [104  74  96  12]],[[ 20 100  96  80]; [102  46 104  18]],[86 86 10  8],[18 52 34 58]
[47 65],[ 6 38],38,48,[71 68],[18 79],[[38 78 66 50]; [70 50  0 60]],[[80 94 32 98]; [92 42 66 94]],[52 92 52 62],[36 70 62 62]
[ 64 101],[10 89],34,72,[23 77],[80 69],[[102  50 100  94]; [ 36  66 104 100]],[[ 42   8  88  30]; [ 34  98 100  68]],[94 60 84 82],[104  54  26   6]
[86 89],[72 30],78,22,[50 11],[ 1 80],[[86 60 40 38]; [18 30 24 90]],[[26 56 72 68]; [68 58 72 50]],[22 26 68 42],[80  2 36 58]
[73  9],[85 60],60,36,[60 60],[96 79],[[ 90  46  62  86]; [102  30   4  78]],[[88 90 78 76]; [84 34 92 28]],[98  4 56 54],[74 80 92 30]
[25 91],[64 66],90,52,[54 83],[82 79],[[ 44  76   2 102]; [ 12   2  92  34]],[[ 2 98  0 76]; [36 60 76 26]],[18 32 88 18],[20 24 70 52]
[20 13],[58 87],10,14,[48 14],[ 58 102],[[ 4 30 16 54]; [92 56 34 96]],[[32 92 92 26]; [60 10 40  0]],[92 52 84 68],[48 64 86 58]
[55 22],[72 97],84,52,[12 84],[77 75],[[92 52 76 54]; [82  6 84 12]],[[48 52 56 90]; [40 68 60 28]],[ 46  86  74 100],[80  0 96 14]
[88  7],[85 65],86,88,[12 43],[3 9],[[ 12  48 104  36]; [ 74  80  86   8]],[[38 90 18 14]; [12 16 72 90]],[54 76 98 10],[82  6 98 30]
[28 84],[40  1],52,46,[53 67],[83 34],[[70 50 94 90]; [40 68 68 60]],[[70 50 96 46]; [ 8 92 18 34]],[50 76 78 42],[30 24 64 76]
[73 90],[43 75],42,14,[88 65],[ 5 73],[[ 98  80  10 102]; [ 26  16  50  16]],[[ 82  40  52  38]; [ 42  94  44 104]],[28 72 38  8],[ 82  28 102  74]
[53 42],[71 41],90,66,[66 12],[66 80],[[102  18  66  22]; [ 62  26  88 102]],[[40 68 32 86]; [ 4 24 30 94]],[  0   8 100 104],[52 52  6 16]
[21 45],[71  8],22,22,[97 27],[84 20],[[ 34  60  38  56]; [100  68  66  34]],[[ 80 102  56  54]; [100  14  52  66]],[74 88 24 32],[86 32 90  8]
[79 66],[16 75],56,30,[ 59 102],[47 92],[[72 56 74  8]; [92 44  6 74]],[[32 30 36 16]; [60  8 58 34]],[82 26 74 82],[88 10 10 24]
[55  7],[ 63 103],90,12,[25 98],[78 59],[[ 92  32  10  50]; [ 14 102  66  58]],[[40  6  8 52]; [32 30 14 94]],[96 10 36 80],[ 12 104  22  84]
[46 13],[75  2],12,18,[ 63 100],[14 79],[[100  20  66  96]; [ 96  54  24  22]],[[ 82   2  60  80]; [ 66 104  76  34]],[ 96  30 104  70],[60 34  8 38]
[14 38],[96 32],64,38,[45 37],[103  89],[[102  48  92 102]; [ 16  54  56  18]],[[62 70 84 90]; [26 42 34 28]],[ 8 72 48 80],[34  2 22 52]
[43 38],[77 66],34,4,[50  9],[71 76],[[22 12 10 12]; [40 76 36  4]],[[68 50 72 64]; [54 42 10 22]],[58 60  0 94],[  8 100  54  98]
[80 72],[22 18],56,54,[ 4 28],[ 4 84],[[78 44 60 14]; [26 92 62 58]],[[58 26  0 62]; [ 6  6  4 76]],[12 90 18 74],[36  8 48 40]
[65 77],[103  20],86,12,[62 74],[93 33],[[ 96  80  44  88]; [ 44  20  74 104]],[[80 32 34 84]; [38 18 74 14]],[ 36 102  56  24],[30  6 20 52]
[44 15],[ 44 100],22,102,[34 63],[18 93],[[100  50  72  98]; [ 60  30 100  86]],[[  4 104  78  30]; [ 60 104  26   0]],[68 70 92 10],[12 84 34 86]
[ 8 14],[45 76],76,14,[18 55],[74 83],[[30 54 74 58]; [98 48 58 24]],[[98 98 44 24]; [88 62 46 76]],[38 76  6 10],[10 86  2 62]
[ 6 96],[92 44],102,2,[80  0],[25 84],[[102  40  78 102]; [  2  86   2  54]],[[98 74 38 32]; [50 24 80 78]],[38 76  0 58],[48 26 42 48]
[28 66],[95 96],66,4,[89 33],[ 3 46],[[16 86 68  6]; [22 76 92 56]],[[24 68 86 62]; [62 82 60 66]],[44 40 38 86],[104   8  94  84]
[70 23],[80 75],42,64,[95 19],[92 65],[[32 48 68 90]; [82 96 64 42]],[[22  0 94 22]; [16 66 76 24]],[10 34 86 68],[78 28 72 24]
[76 76],[19 71],12,44,[22 26],[ 52 100],[[ 6 82 90 32]; [50 34 38 28]],[[ 64  70  84  92]; [ 26  44  62 100]],[50 52  2 60],[92 34 82 98]
[7 5],[58 14],8,24,[102  37],[78 99],[[ 78  86  70  74]; [100  16  10  64]],[[ 2  2 22 88]; [60 34 32 64]],[34 60 84 96],[ 0 94 66 76]
[71 28],[36 55],24,82,[16 92],[87 21],[[32 90 10 10]; [70 16 74 46]],[[ 36 100  64   2]; [ 36  38  34 104]],[52 68 84 22],[ 8  2 14  2]
[78 76],[24 66],66,54,[63  4],[104 103],[[ 84 104  86  80]; [ 14  62  46  84]],[[  6  34 102  42]; [100  74  34  66]],[72 94 90 66],[56 74 42 32]
[94 92],[37 13],68,76,[63 71],[70 81],[[68  6 88 78]; [44  4 18 50]],[[ 54  64  82  52]; [  0  16 100  28]],[46 88 48 74],[82 22 26 42]
[ 9 17],[68 23],14,46,[100  80],[ 7 78],[[36 72 56 16]; [14 98 20 72]],[[ 2 10 60 74]; [22 96 34 86]],[80 66 40 46],[32 10  8 72]
[103 100],[30 70],94,38,[15 11],[ 1 80],[[ 42  58 100  82]; [104  18   0  94]],[[62 38 12 46]; [22 92 98 16]],[82 78 84 56],[ 24 104  44   0]
[ 5 26],[25 95],8,66,[96 99],[101  42],[[80 92 14 70]; [26 56 66 90]],[[ 30  86 102  44]; [ 68  34  30  72]],[74 10 68 26],[74 88 14 66]
[59 91],[77 81],42,80,[42 23],[ 2 27],[[14 42  6 98]; [76 22 48 14]],[[92 86 38  4]; [78 72 32 22]],[20 32 36 62],[72  4 70 80]
[20 37],[20 99],42,76,[62 38],[33 68],[[102   0  70  18]; [  4  96  66   6]],[[  0   4  26  74]; [104  80  54  42]],[30 30 40 76],[ 82 104  72  94]
[39 65],[98  7],38,94,[61 27],[56 55],[[76 46 62 50]; [ 8 42 18 56]],[[70  4 34 98]; [74 86 58 26]],[76 10 76 48],[76 38 22 84]
[86 87],[67 88],30,88,[48 88],[23 57],[[64 40 22 56]; [ 2 86 20 26]],[[98 78 74 22]; [ 4 92 46 52]],[ 92   8  88 104],[70 80 50 30]
[92 96],[49 53],50,20,[ 52 102],[34  4],[[56 58 26 16]; [46 20 66 30]],[[88 22 26 62]; [ 8 32 98 50]],[46 32 44 50],[84 98  2 14]
[14 23],[ 8 79],18,64,[  8 100],[99 10],[[102  12  52  56]; [ 80   2  26  42]],[[98 62 60 90]; [90 58 20 86]],[82  8 64 64],[ 20 104  46  52]
[32 17],[88  8],2,32,[79  0],[77 21],[[  6  18  20  34]; [ 10  18 100  48]],[[94 14 28 18]; [82 98 86 82]],[60 64 66 60],[80 10 86  6]
[38 55],[35 18],100,6,[16 64],[46 77],[[22 16  8 74]; [94 46 56 76]],[[ 52   4  10 104]; [ 60  14  78  68]],[20 42 30 42],[80 10 24 78]
[89  7],[29 44],102,88,[49 38],[15 93],[[  2 100  12  14]; [ 34  62  88  80]],[[ 6 16 80 70]; [76 90 22 56]],[76 30 62 16],[ 4 66 68 26]
[94 93],[4 2],24,54,[37 48],[24 71],[[84 12 34 28]; [46 14  8 90]],[[44 14 28 90]; [94 14 26 10]],[ 40  36  10 100],[42 22  2 74]
[85 68],[78 51],98,78,[24 24],[57 98],[[ 4 12 34  0]; [62 60 88 46]],[[ 84  24  58  90]; [ 76  74 100  72]],[50 72 94 36],[ 98 102  28  44]
[18 32],[42  2],2,64,[ 48 100],[ 16 104],[[50 28 46 22]; [30 48  8 82]],[[74 48 96 86]; [98  6 72  6]],[40 54  8 58],[12 26 38 48]
[65 57],[97 19],8,38,[25  0],[13 60],[[ 12   6  92  44]; [ 26   6 102  16]],[[102  74   2  52]; [ 50  30  96 102]],[62 38 54 64],[ 4 82 56 24]
[ 1 98],[104  63],38,38,[16 82],[59 64],[[26 32 74 90]; [58  0 22 22]],[[ 32  88  56  38]; [ 64  70  84 100]],[28 10 72 52],[74 48 28 42]
[82 50],[89  3],42,20,[49 35],[ 7 65],[[ 56 100  14  44]; [ 56  90  22  38]],[[ 36  60  12  32]; [ 68  80  40 100]],[ 14  28  54 102],[98 38  0 62]
[49 16],[97 86],98,18,[75 97],[99  3],[[ 78  98  18  14]; [ 68  18   6 100]],[[ 6 46 56 72]; [32  4 64 88]],[ 0 44 64 30],[ 4 18 52 28]
[88  1],[30 12],46,76,[ 8 28],[77 47],[[44 64 30 42]; [84  2  8 24]],[[ 96  30 102  24]; [ 24  14  42  38]],[52 82 16 50],[32 78 84  0]
[ 6 41],[21 31],32,24,[ 0 86],[76 11],[[18  6  2 16]; [90 20 26 84]],[[80 66 42 22]; [50 62 54 88]],[54  6 74 34],[58 22 80 90]
[3 2],[ 4 85],74,18,[94 61],[19 84],[[10 30 62 46]; [96 82 92 82]],[[ 88  84  24  50]; [ 56 100  20  62]],[54  8 68 80],[26 46  0 30]
[85 88],[92 76],52,4,[46 22],[75 23],[[24 10 54 82]; [24  2 60 72]],[[14 52 28 18]; [52  4 98 66]],[ 6  6 76 98],[26 90 54 26]
[22 58],[20 74],54,50,[95  2],[26 39],[[ 72  68  40  42]; [ 54  62 104   8]],[[82 68 62 82]; [32 64 84 32]],[76 22  2 62],[68 22 68 62]
[92 46],[50 99],20,102,[29 46],[ 7 62],[[82 98 34 40]; [82 66 94 76]],[[34 94 14 32]; [98 60 84  4]],[34 70 76 10],[20 24 98 48]
[79 66],[42 13],72,14,[ 16 101],[56 74],[[28 44 40  4]; [76 50 36 96]],[[14 40  2  6]; [ 0 48 98 40]],[82 12 86 98],[ 6  0 62 72]
[16 99],[  8 101],92,96,[64 60],[17 31],[[  0  92 102  50]; [ 26  34  64  18]],[[58 10 68 90]; [34 84 80 46]],[32 92 20 74],[66 14 72 94]
[25 45],[16 76],84,66,[ 2 59],[60 70],[[ 38  12  58  10]; [  2 104  74  18]],[[84 68 76 44]; [10 90  2 24]],[68 72 50 28],[ 8 84 68 84]
[62 27],[29 37],26,92,[10 44],[ 1 53],[[ 58  60  62 104]; [ 28  42  18  16]],[[58 86 96 98]; [56 50 40 36]],[104  96 100  20],[80 54 50 44]
[91 64],[44 36],100,10,[34 94],[58 39],[[ 26  12  90 100]; [ 74  60  34  30]],[[90 90 68  2]; [56 54 72  4]],[70 52 66 52],[12 16 98 96]
[34 52],[24 80],48,36,[103  33],[104   8],[[ 12  52  46  10]; [  4  60 104  62]],[[44 58  0 22]; [82 66 24 48]],[42 38 92 90],[94 92  8  4]
[43  9],[70 71],36,42,[42 44],[43 42],[[12 36 74  8]; [70 98 36 40]],[[ 18  62 102  26]; [ 20  42  24  58]],[68 52 20 32],[ 48 100  70   0]
[99 74],[90 75],44,16,[  7 104],[38 57],[[  0 100  30  42]; [ 30  30  32  50]],[[ 4 42 46 22]; [64 16 78 10]],[50 54 78 88],[98 88 92 82]
[23 17],[75 16],2,16,[15 59],[20 26],[[74 58 50 20]; [22 96 90 60]],[[82 38 90 54]; [ 6 20 34 42]],[54 20 32 32],[ 64  58 102  58]
[61 63],[ 2 61],56,4,[47 19],[93 41],[[92 52 66 20]; [82 34 44 86]],[[100  40  32  98]; [ 80  66  98  30]],[  8  32  64 104],[20 88 96  6]
[64 43],[ 9 50],84,8,[49 26],[18 69],[[98 32 48 20]; [20 40 12 90]],[[  2  46 100  60]; [ 56  62   8  28]],[74 24 50 18],[30 84  4 56]
[36 86],[80 26],64,52,[20 55],[ 69 100],[[ 6 34 18 40]; [32 10 70 18]],[[48 96 46 70]; [84 10 90  8]],[ 28   4  72 102],[68 96 92 60]
[99 79],[2 7],76,84,[ 0 29],[65 63],[[36 30 94 88]; [70 74 12 98]],[[90 42 86 78]; [40 66 38 30]],[100  62  16  78],[44 96 14 28]
[30 66],[39 32],74,16,[98 64],[ 5 95],[[100  28  50  18]; [ 40  46  74  46]],[[ 16  24  26  78]; [  6 102  50  38]],[50 26 80 52],[40  2 72 38]
[59 74],[65 13],46,26,[79 74],[41 97],[[58 24 54 48]; [54  6 76 36]],[[ 20  14  40 100]; [  2  54  42  26]],[52 68 10 72],[ 30 104  44  16]
[43  7],[73 52],58,60,[72 75],[23  5],[[76 28 90 72]; [96  4 64 62]],[[16 58 90 62]; [30 10 66 94]],[ 4  4 98  4],[80 80 38 54]
[14 68],[81 20],28,82,[47 75],[83 85],[[ 16  30   2  90]; [104  38  42  96]],[[ 92 100  60  56]; [ 92  96  30  20]],[20  0 18 74],[ 6 82 50  2]
[76 73],[52  7],98,62,[ 77 101],[26 28],[[68 66 50  4]; [64 14 96 82]],[[62 50 56 90]; [14 36 42 54]],[48 62 30 90],[104  52  72  92]
[25 31],[60 89],102,18,[81 81],[76 92],[[ 76  88  76  58]; [ 12  62 104  26]],[[ 56  32   0  26]; [ 20  90   4 104]],[32 42 18 78],[94 72  2 38]
[ 8 47],[87 51],78,84,[30 57],[85 19],[[18 72 38 96]; [14 58 18 84]],[[ 42  96  46  32]; [104 102  72  32]],[84 42 56 10],[50 66  4 24]
