f_0,f_1,h_0,h_1,R_n,R_0,E_phi_0,E_phi_1,E_psi_0,E_psi_1,N_0_0,N_0_1,N_0_2,N_0_3,N_n_0,N_n_1,N_n_2,N_n_3,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Q_0,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7
28,24,49,12,90,74,3,15,19,35,92,74,18,38,46,10,62,104,80,52,24,52,14,6,18,14,76,22,16,32,66,60,28,66
28,53,73,86,40,28,16,68,80,15,2,84,82,18,34,78,6,84,46,14,12,92,98,66,54,14,70,22,36,62,54,92,58,74
59,36,18,52,62,18,77,91,91,30,92,14,58,26,32,22,16,68,96,82,30,6,62,64,34,6,100,102,64,76,8,16,62,56
85,36,51,73,82,4,9,76,13,44,40,52,46,24,38,62,60,72,40,12,36,82,70,6,4,48,62,32,100,20,0,14,72,6
80,85,43,61,28,44,68,1,42,41,42,4,88,64,76,10,100,94,92,32,38,8,0,80,94,68,10,28,92,40,24,50,48,48
97,50,1,30,46,38,74,14,17,63,30,30,78,6,2,34,90,70,80,20,22,24,60,22,86,42,44,6,36,30,62,16,104,40
97,31,23,25,56,70,74,99,29,82,8,80,34,56,18,100,44,90,6,40,24,18,18,42,20,32,44,40,18,72,42,102,62,46
72,79,29,84,74,52,32,83,79,27,96,62,104,12,22,34,62,64,44,46,28,98,4,94,30,52,24,86,60,18,32,80,50,50
11,15,21,33,68,2,15,76,18,36,50,56,36,72,64,98,88,0,82,16,78,70,40,12,22,20,2,96,16,10,70,54,92,12
50,31,44,103,84,82,3,59,56,44,14,82,90,54,36,2,38,72,82,42,76,6,84,72,68,50,54,28,80,8,8,40,94,102
19,4,37,54,14,82,63,19,104,27,78,40,76,38,94,44,36,70,56,70,16,50,10,8,38,64,88,18,42,50,84,84,80,84
52,63,38,38,42,22,92,19,92,56,100,70,74,68,2,2,50,62,94,2,68,90,66,94,36,88,2,36,30,6,98,64,50,50
92,68,73,90,16,2,40,53,14,44,86,34,54,16,4,28,80,98,96,46,38,86,66,62,36,20,76,12,18,30,18,58,84,22
61,36,12,6,98,24,31,84,61,21,30,96,4,16,80,100,78,0,100,44,0,40,90,54,24,26,16,30,64,24,74,92,18,28
87,32,24,60,34,2,102,8,86,49,100,64,16,98,42,0,46,68,66,70,26,68,4,90,96,98,104,98,100,74,58,20,92,10
99,39,4,6,46,92,39,50,84,7,84,20,60,96,22,92,70,12,40,68,96,34,36,44,44,44,58,6,64,76,24,22,0,48
99,64,39,34,62,28,7,22,70,33,14,44,82,66,36,10,16,86,8,48,36,24,66,40,50,16,70,34,82,58,36,28,28,38
35,79,57,13,20,96,29,45,73,65,92,100,88,76,94,90,40,72,44,8,82,34,42,102,72,14,40,64,100,70,12,8,24,74
30,23,39,45,94,34,18,71,9,30,34,18,20,58,46,60,64,78,16,74,26,60,84,10,82,50,24,26,86,30,22,82,82,100
3,46,81,85,82,78,88,5,96,26,22,62,70,46,32,68,84,102,24,24,42,44,74,88,42,86,50,4,28,86,78,4,8,24
69,86,10,48,80,4,11,25,96,80,56,90,18,80,10,36,64,12,86,52,18,96,68,14,8,52,66,52,10,56,12,74,0,14
71,14,59,93,18,22,8,26,20,45,8,2,10,104,54,36,66,26,90,68,78,24,88,34,14,0,98,86,2,74,6,96,52,0
10,86,5,2,88,26,55,76,7,15,42,102,52,74,80,82,102,26,94,64,64,52,8,96,64,82,16,60,84,44,10,104,0,94
83,98,61,56,64,4,18,42,85,101,94,74,92,56,34,82,30,12,38,26,24,22,36,34,70,12,8,62,62,100,42,76,78,0
5,35,26,15,10,58,22,102,6,1,90,32,30,80,86,90,44,44,74,54,82,52,90,24,12,60,32,92,76,24,12,78,0,26
65,80,67,84,72,44,92,32,20,78,92,36,62,14,50,90,50,0,96,62,88,84,26,70,40,54,36,60,98,14,68,68,52,34
27,52,20,72,70,66,13,69,10,66,68,14,34,38,84,42,74,84,38,14,66,4,66,38,6,104,102,92,58,10,52,38,24,0
96,54,13,49,46,30,3,74,81,68,4,62,10,102,94,28,96,78,52,94,90,48,70,52,48,88,78,28,76,82,40,84,18,82
5,81,0,38,50,76,97,29,16,71,22,62,104,64,86,4,94,26,60,46,64,82,28,64,72,98,68,66,56,10,2,30,70,36
2,19,87,75,34,32,71,83,6,72,78,92,102,42,46,44,22,100,18,18,66,44,56,56,28,68,62,6,40,76,0,32,16,40
61,6,15,23,28,74,87,42,17,99,24,4,76,100,38,44,102,4,82,64,86,86,100,82,96,36,88,46,10,68,50,36,94,86
87,32,62,26,86,14,59,32,95,58,96,96,34,98,12,56,44,74,34,50,24,74,54,48,24,92,82,40,16,4,68,90,12,16
66,69,35,21,26,56,70,103,86,6,44,56,68,102,30,68,90,10,48,78,60,18,84,90,48,14,100,80,14,90,56,44,100,14
15,7,45,36,10,36,84,6,55,6,80,66,96,46,10,20,68,46,36,6,84,44,42,104,48,100,72,68,46,34,78,66,18,12
17,18,46,51,80,58,4,61,104,39,74,60,14,12,72,8,78,94,40,52,46,46,10,72,60,6,18,64,30,100,86,102,60,86
39,44,49,13,32,62,55,77,55,75,82,98,24,90,78,12,10,36,66,40,22,96,46,6,54,64,10,52,32,58,76,24,34,70
35,62,30,10,74,90,71,38,84,38,62,8,84,6,42,8,2,86,28,92,88,16,56,24,104,40,12,58,20,70,40,100,72,90
97,68,86,60,32,12,73,26,62,1,60,26,60,100,98,50,84,6,18,104,50,8,96,12,82,24,78,90,56,84,58,80,28,34
28,85,29,65,18,40,90,99,88,30,58,102,12,32,76,30,60,48,22,30,14,38,48,8,80,78,6,28,100,64,8,82,90,26
87,2,37,39,64,82,100,78,80,30,56,22,76,34,34,70,34,66,40,38,96,66,32,44,48,36,2,24,36,26,78,2,70,60
48,57,3,88,68,38,1,42,40,68,10,80,82,28,4,44,70,62,10,60,68,44,50,4,28,4,30,12,48,18,2,8,86,28
82,26,14,89,46,36,28,59,80,43,60,74,82,54,88,66,12,0,52,56,54,60,70,52,16,78,72,98,94,82,18,70,8,32
64,89,11,49,46,42,38,63,7,84,60,56,66,94,44,18,2,34,68,72,40,90,54,24,38,4,48,8,80,64,104,32,86,78
92,8,68,49,2,92,69,67,102,92,2,104,20,10,22,88,104,62,18,76,38,20,56,46,10,38,26,80,102,16,88,94,68,52
49,34,12,92,22,54,90,51,40,58,8,16,6,0,12,6,74,24,46,60,28,88,38,56,66,86,14,92,16,22,56,10,56,68
36,47,65,98,102,8,66,79,67,31,14,86,54,2,0,48,20,98,70,52,56,0,14,18,16,44,16,2,82,6,82,62,82,82
87,17,86,68,4,18,11,80,11,32,40,0,30,42,40,64,42,86,16,16,8,38,48,48,80,100,20,18,52,42,78,58,44,76
34,104,58,70,48,80,75,85,20,28,58,6,90,86,92,84,42,54,58,104,14,16,60,58,74,56,66,44,84,62,46,52,88,72
74,90,47,29,18,6,86,62,12,53,12,66,46,12,42,56,88,14,44,88,104,18,86,10,82,44,32,52,102,16,62,12,90,44
81,71,32,39,10,66,54,11,93,73,86,86,10,8,18,52,34,58,32,52,46,68,104,74,96,12,20,100,96,80,102,46,104,18
47,65,6,38,48,38,71,68,18,79,52,92,52,62,36,70,62,62,38,78,66,50,70,50,0,60,80,94,32,98,92,42,66,94
64,101,10,89,72,34,23,77,80,69,94,60,84,82,104,54,26,6,102,50,100,94,36,66,104,100,42,8,88,30,34,98,100,68
86,89,72,30,22,78,50,11,1,80,22,26,68,42,80,2,36,58,86,60,40,38,18,30,24,90,26,56,72,68,68,58,72,50
73,9,85,60,36,60,60,60,96,79,98,4,56,54,74,80,92,30,90,46,62,86,102,30,4,78,88,90,78,76,84,34,92,28
25,91,64,66,52,90,54,83,82,79,18,32,88,18,20,24,70,52,44,76,2,102,12,2,92,34,2,98,0,76,36,60,76,26
20,13,58,87,14,10,48,14,58,102,92,52,84,68,48,64,86,58,4,30,16,54,92,56,34,96,32,92,92,26,60,10,40,0
55,22,72,97,52,84,12,84,77,75,46,86,74,100,80,0,96,14,92,52,76,54,82,6,84,12,48,52,56,90,40,68,60,28
88,7,85,65,88,86,12,43,3,9,54,76,98,10,82,6,98,30,12,48,104,36,74,80,86,8,38,90,18,14,12,16,72,90
28,84,40,1,46,52,53,67,83,34,50,76,78,42,30,24,64,76,70,50,94,90,40,68,68,60,70,50,96,46,8,92,18,34
73,90,43,75,14,42,88,65,5,73,28,72,38,8,82,28,102,74,98,80,10,102,26,16,50,16,82,40,52,38,42,94,44,104
53,42,71,41,66,90,66,12,66,80,0,8,100,104,52,52,6,16,102,18,66,22,62,26,88,102,40,68,32,86,4,24,30,94
21,45,71,8,22,22,97,27,84,20,74,88,24,32,86,32,90,8,34,60,38,56,100,68,66,34,80,102,56,54,100,14,52,66
79,66,16,75,30,56,59,102,47,92,82,26,74,82,88,10,10,24,72,56,74,8,92,44,6,74,32,30,36,16,60,8,58,34
55,7,63,103,12,90,25,98,78,59,96,10,36,80,12,104,22,84,92,32,10,50,14,102,66,58,40,6,8,52,32,30,14,94
46,13,75,2,18,12,63,100,14,79,96,30,104,70,60,34,8,38,100,20,66,96,96,54,24,22,82,2,60,80,66,104,76,34
14,38,96,32,38,64,45,37,103,89,8,72,48,80,34,2,22,52,102,48,92,102,16,54,56,18,62,70,84,90,26,42,34,28
43,38,77,66,4,34,50,9,71,76,58,60,0,94,8,100,54,98,22,12,10,12,40,76,36,4,68,50,72,64,54,42,10,22
80,72,22,18,54,56,4,28,4,84,12,90,18,74,36,8,48,40,78,44,60,14,26,92,62,58,58,26,0,62,6,6,4,76
65,77,103,20,12,86,62,74,93,33,36,102,56,24,30,6,20,52,96,80,44,88,44,20,74,104,80,32,34,84,38,18,74,14
44,15,44,100,102,22,34,63,18,93,68,70,92,10,12,84,34,86,100,50,72,98,60,30,100,86,4,104,78,30,60,104,26,0
8,14,45,76,14,76,18,55,74,83,38,76,6,10,10,86,2,62,30,54,74,58,98,48,58,24,98,98,44,24,88,62,46,76
6,96,92,44,2,102,80,0,25,84,38,76,0,58,48,26,42,48,102,40,78,102,2,86,2,54,98,74,38,32,50,24,80,78
28,66,95,96,4,66,89,33,3,46,44,40,38,86,104,8,94,84,16,86,68,6,22,76,92,56,24,68,86,62,62,82,60,66
70,23,80,75,64,42,95,19,92,65,10,34,86,68,78,28,72,24,32,48,68,90,82,96,64,42,22,0,94,22,16,66,76,24
76,76,19,71,44,12,22,26,52,100,50,52,2,60,92,34,82,98,6,82,90,32,50,34,38,28,64,70,84,92,26,44,62,100
7,5,58,14,24,8,102,37,78,99,34,60,84,96,0,94,66,76,78,86,70,74,100,16,10,64,2,2,22,88,60,34,32,64
71,28,36,55,82,24,16,92,87,21,52,68,84,22,8,2,14,2,32,90,10,10,70,16,74,46,36,100,64,2,36,38,34,104
78,76,24,66,54,66,63,4,104,103,72,94,90,66,56,74,42,32,84,104,86,80,14,62,46,84,6,34,102,42,100,74,34,66
94,92,37,13,76,68,63,71,70,81,46,88,48,74,82,22,26,42,68,6,88,78,44,4,18,50,54,64,82,52,0,16,100,28
9,17,68,23,46,14,100,80,7,78,80,66,40,46,32,10,8,72,36,72,56,16,14,98,20,72,2,10,60,74,22,96,34,86
103,100,30,70,38,94,15,11,1,80,82,78,84,56,24,104,44,0,42,58,100,82,104,18,0,94,62,38,12,46,22,92,98,16
5,26,25,95,66,8,96,99,101,42,74,10,68,26,74,88,14,66,80,92,14,70,26,56,66,90,30,86,102,44,68,34,30,72
59,91,77,81,80,42,42,23,2,27,20,32,36,62,72,4,70,80,14,42,6,98,76,22,48,14,92,86,38,4,78,72,32,22
20,37,20,99,76,42,62,38,33,68,30,30,40,76,82,104,72,94,102,0,70,18,4,96,66,6,0,4,26,74,104,80,54,42
39,65,98,7,94,38,61,27,56,55,76,10,76,48,76,38,22,84,76,46,62,50,8,42,18,56,70,4,34,98,74,86,58,26
86,87,67,88,88,30,48,88,23,57,92,8,88,104,70,80,50,30,64,40,22,56,2,86,20,26,98,78,74,22,4,92,46,52
92,96,49,53,20,50,52,102,34,4,46,32,44,50,84,98,2,14,56,58,26,16,46,20,66,30,88,22,26,62,8,32,98,50
14,23,8,79,64,18,8,100,99,10,82,8,64,64,20,104,46,52,102,12,52,56,80,2,26,42,98,62,60,90,90,58,20,86
32,17,88,8,32,2,79,0,77,21,60,64,66,60,80,10,86,6,6,18,20,34,10,18,100,48,94,14,28,18,82,98,86,82
38,55,35,18,6,100,16,64,46,77,20,42,30,42,80,10,24,78,22,16,8,74,94,46,56,76,52,4,10,104,60,14,78,68
89,7,29,44,88,102,49,38,15,93,76,30,62,16,4,66,68,26,2,100,12,14,34,62,88,80,6,16,80,70,76,90,22,56
94,93,4,2,54,24,37,48,24,71,40,36,10,100,42,22,2,74,84,12,34,28,46,14,8,90,44,14,28,90,94,14,26,10
85,68,78,51,78,98,24,24,57,98,50,72,94,36,98,102,28,44,4,12,34,0,62,60,88,46,84,24,58,90,76,74,100,72
18,32,42,2,64,2,48,100,16,104,40,54,8,58,12,26,38,48,50,28,46,22,30,48,8,82,74,48,96,86,98,6,72,6
65,57,97,19,38,8,25,0,13,60,62,38,54,64,4,82,56,24,12,6,92,44,26,6,102,16,102,74,2,52,50,30,96,102
1,98,104,63,38,38,16,82,59,64,28,10,72,52,74,48,28,42,26,32,74,90,58,0,22,22,32,88,56,38,64,70,84,100
82,50,89,3,20,42,49,35,7,65,14,28,54,102,98,38,0,62,56,100,14,44,56,90,22,38,36,60,12,32,68,80,40,100
49,16,97,86,18,98,75,97,99,3,0,44,64,30,4,18,52,28,78,98,18,14,68,18,6,100,6,46,56,72,32,4,64,88
88,1,30,12,76,46,8,28,77,47,52,82,16,50,32,78,84,0,44,64,30,42,84,2,8,24,96,30,102,24,24,14,42,38
6,41,21,31,24,32,0,86,76,11,54,6,74,34,58,22,80,90,18,6,2,16,90,20,26,84,80,66,42,22,50,62,54,88
3,2,4,85,18,74,94,61,19,84,54,8,68,80,26,46,0,30,10,30,62,46,96,82,92,82,88,84,24,50,56,100,20,62
85,88,92,76,4,52,46,22,75,23,6,6,76,98,26,90,54,26,24,10,54,82,24,2,60,72,14,52,28,18,52,4,98,66
22,58,20,74,50,54,95,2,26,39,76,22,2,62,68,22,68,62,72,68,40,42,54,62,104,8,82,68,62,82,32,64,84,32
92,46,50,99,102,20,29,46,7,62,34,70,76,10,20,24,98,48,82,98,34,40,82,66,94,76,34,94,14,32,98,60,84,4
79,66,42,13,14,72,16,101,56,74,82,12,86,98,6,0,62,72,28,44,40,4,76,50,36,96,14,40,2,6,0,48,98,40
16,99,8,101,96,92,64,60,17,31,32,92,20,74,66,14,72,94,0,92,102,50,26,34,64,18,58,10,68,90,34,84,80,46
25,45,16,76,66,84,2,59,60,70,68,72,50,28,8,84,68,84,38,12,58,10,2,104,74,18,84,68,76,44,10,90,2,24
62,27,29,37,92,26,10,44,1,53,104,96,100,20,80,54,50,44,58,60,62,104,28,42,18,16,58,86,96,98,56,50,40,36
91,64,44,36,10,100,34,94,58,39,70,52,66,52,12,16,98,96,26,12,90,100,74,60,34,30,90,90,68,2,56,54,72,4
34,52,24,80,36,48,103,33,104,8,42,38,92,90,94,92,8,4,12,52,46,10,4,60,104,62,44,58,0,22,82,66,24,48
43,9,70,71,42,36,42,44,43,42,68,52,20,32,48,100,70,0,12,36,74,8,70,98,36,40,18,62,102,26,20,42,24,58
99,74,90,75,16,44,7,104,38,57,50,54,78,88,98,88,92,82,0,100,30,42,30,30,32,50,4,42,46,22,64,16,78,10
23,17,75,16,16,2,15,59,20,26,54,20,32,32,64,58,102,58,74,58,50,20,22,96,90,60,82,38,90,54,6,20,34,42
61,63,2,61,4,56,47,19,93,41,8,32,64,104,20,88,96,6,92,52,66,20,82,34,44,86,100,40,32,98,80,66,98,30
64,43,9,50,8,84,49,26,18,69,74,24,50,18,30,84,4,56,98,32,48,20,20,40,12,90,2,46,100,60,56,62,8,28
36,86,80,26,52,64,20,55,69,100,28,4,72,102,68,96,92,60,6,34,18,40,32,10,70,18,48,96,46,70,84,10,90,8
99,79,2,7,84,76,0,29,65,63,100,62,16,78,44,96,14,28,36,30,94,88,70,74,12,98,90,42,86,78,40,66,38,30
30,66,39,32,16,74,98,64,5,95,50,26,80,52,40,2,72,38,100,28,50,18,40,46,74,46,16,24,26,78,6,102,50,38
59,74,65,13,26,46,79,74,41,97,52,68,10,72,30,104,44,16,58,24,54,48,54,6,76,36,20,14,40,100,2,54,42,26
43,7,73,52,60,58,72,75,23,5,4,4,98,4,80,80,38,54,76,28,90,72,96,4,64,62,16,58,90,62,30,10,66,94
14,68,81,20,82,28,47,75,83,85,20,0,18,74,6,82,50,2,16,30,2,90,104,38,42,96,92,100,60,56,92,96,30,20
76,73,52,7,62,98,77,101,26,28,48,62,30,90,104,52,72,92,68,66,50,4,64,14,96,82,62,50,56,90,14,36,42,54
25,31,60,89,18,102,81,81,76,92,32,42,18,78,94,72,2,38,76,88,76,58,12,62,104,26,56,32,0,26,20,90,4,104
8,47,87,51,84,78,30,57,85,19,84,42,56,10,50,66,4,24,18,72,38,96,14,58,18,84,42,96,46,32,104,102,72,32
64,29,38,62,78,90,16,70,34,54,2,38,88,0,6,54,78,16,102,36,28,98,22,18,2,96,56,78,100,48,44,80,68,28
37,42,44,8,46,52,65,0,14,52,72,14,96,34,12,56,42,82,64,2,4,54,2,72,10,86,20,60,76,78,58,10,46,96
90,16,84,12,52,36,83,36,83,104,72,16,94,36,32,66,10,52,94,22,84,54,48,90,78,52,60,82,84,104,74,100,64,84
54,8,3,11,40,28,32,76,98,52,102,16,102,28,92,80,74,18,10,28,46,32,98,104,8,56,22,50,14,26,4,92,100,20
102,55,34,39,66,2,71,38,62,74,4,58,90,76,64,82,42,76,38,22,48,48,84,74,32,46,86,48,4,102,92,40,68,6
101,19,16,82,6,38,18,14,49,95,14,0,96,20,30,36,10,70,0,36,28,96,46,80,28,78,32,80,94,32,36,32,34,88
34,61,82,26,28,6,47,74,91,1,60,86,78,30,42,96,100,22,10,104,8,44,36,24,18,34,70,104,14,2,66,66,20,30
61,46,46,73,56,78,57,2,23,48,26,98,78,50,36,94,18,46,38,16,28,54,56,30,22,72,34,38,84,32,18,72,78,96
93,0,77,4,100,24,81,8,3,77,66,8,102,18,74,10,10,90,54,72,84,6,52,96,96,16,18,66,2,50,76,58,10,16
93,24,85,86,36,98,8,53,77,95,74,82,88,44,40,34,84,82,102,62,22,0,88,90,84,32,96,80,74,66,18,6,26,36
68,60,63,23,72,86,83,99,79,95,46,56,38,88,2,80,88,88,48,58,52,30,48,62,14,10,42,2,102,56,10,70,60,74
49,84,16,80,80,70,11,102,92,85,92,46,40,50,102,8,34,48,94,84,6,52,66,64,90,20,24,104,46,32,98,32,54,28
102,43,9,25,48,40,79,10,82,0,104,52,22,18,64,66,54,20,60,0,18,12,2,20,44,60,84,50,28,64,2,86,26,12
0,100,13,45,10,32,27,101,13,84,30,56,32,46,32,10,0,8,16,88,20,42,72,48,84,6,18,66,42,30,34,44,88,80
42,102,99,20,26,40,91,60,70,23,98,92,54,40,16,68,18,22,60,98,46,54,24,52,16,88,76,44,12,26,72,14,104,46
47,15,51,82,22,102,76,65,63,23,32,98,30,20,96,4,64,36,12,50,30,68,88,66,2,70,84,28,66,62,68,68,102,50
26,15,87,20,48,62,101,25,31,64,84,18,28,20,100,2,52,86,88,96,58,26,70,102,10,40,104,46,76,62,78,88,60,74
24,14,29,10,38,92,11,82,6,8,62,74,16,40,82,32,18,92,10,12,36,80,66,70,78,0,82,88,70,4,36,62,86,46
84,24,83,93,48,66,92,68,12,78,62,12,22,10,96,24,98,24,72,56,76,62,56,86,22,56,10,8,16,96,34,50,94,4
1,96,28,33,84,12,51,96,10,66,28,30,48,36,24,18,4,68,20,58,40,84,74,72,40,52,46,36,12,46,54,98,28,58
54,62,35,12,26,44,19,101,66,30,60,80,88,56,52,100,52,98,26,34,28,66,26,78,102,48,16,68,10,16,18,4,74,64
86,103,31,66,86,8,92,5,43,61,48,58,96,88,92,52,66,72,82,40,10,72,40,40,48,54,20,44,62,32,4,12,26,22
64,101,34,100,6,48,21,26,67,61,34,52,22,70,16,14,18,22,12,34,22,68,72,48,40,50,66,24,8,56,80,44,20,4
89,63,37,72,22,26,9,31,51,50,100,76,58,42,52,62,88,100,26,50,76,92,68,92,0,38,70,42,62,14,12,8,14,22
74,21,52,15,50,8,65,62,27,52,90,94,56,96,82,42,34,44,82,90,10,36,90,4,4,8,42,102,56,72,48,50,72,104
23,60,20,7,48,68,100,16,1,58,4,68,82,90,76,36,84,90,68,28,78,104,22,2,72,36,14,48,40,50,10,68,42,36
58,21,35,50,20,22,22,74,4,4,28,102,96,36,70,48,70,58,54,56,82,102,84,4,32,42,94,102,16,86,46,4,84,74
13,12,81,53,20,28,41,99,25,99,46,42,24,44,56,24,26,26,56,2,38,10,2,68,50,88,22,92,72,100,12,36,92,92
17,7,95,57,12,2,79,4,92,38,26,50,88,88,102,76,96,72,48,42,36,74,82,22,2,12,94,70,24,76,102,76,2,64
103,34,28,44,36,62,94,78,87,28,78,8,4,10,12,66,78,102,64,6,48,14,40,6,82,76,88,32,32,80,48,34,68,4
19,67,20,65,62,36,32,90,88,83,48,70,94,56,18,30,66,6,62,100,4,12,56,36,38,88,86,90,26,82,64,104,64,26
34,84,47,5,92,100,72,5,17,56,30,100,100,64,4,54,92,42,98,12,60,12,84,94,92,86,36,48,22,4,54,90,78,96
41,42,33,33,16,58,96,28,80,83,58,104,24,88,70,10,22,58,26,76,96,16,72,12,62,22,14,98,66,40,52,88,102,60
71,58,45,103,4,28,38,20,9,76,92,0,42,88,24,82,92,32,52,82,26,66,8,8,34,12,68,52,98,18,84,26,76,28
99,37,102,74,58,70,78,23,12,56,96,60,50,28,30,32,54,20,36,54,28,20,60,60,38,94,66,60,32,20,92,56,76,62
5,101,50,1,94,82,74,85,71,104,6,88,104,84,20,68,2,12,32,90,32,48,32,44,104,76,76,44,56,50,52,8,28,32
2,7,24,19,2,56,40,94,61,49,42,24,88,40,54,54,68,42,42,74,66,54,54,98,28,24,96,82,36,6,44,100,92,36
97,30,98,91,14,24,59,10,91,94,44,60,50,72,78,42,30,82,6,58,46,12,64,0,58,80,84,42,58,70,76,58,10,100
21,91,93,4,44,80,86,70,15,36,6,104,78,28,16,14,38,14,8,44,46,58,98,62,84,94,40,88,14,100,102,88,16,72
55,79,56,70,32,64,94,6,3,45,32,38,16,76,48,48,40,18,58,0,44,52,8,68,94,76,0,6,16,104,74,26,76,92
13,84,38,5,26,96,102,90,92,49,8,30,82,48,74,94,46,44,18,32,8,98,28,6,14,102,8,96,24,82,32,18,42,94
100,84,6,28,82,78,29,76,10,1,84,86,70,6,98,50,56,52,88,18,44,72,16,46,10,66,66,18,80,60,38,80,42,26
88,29,26,88,80,32,46,67,93,42,66,2,20,34,78,54,62,96,58,100,34,64,26,70,34,44,22,94,100,74,40,78,88,32
83,54,8,67,58,6,53,56,94,55,94,54,90,4,58,8,66,66,28,26,38,104,22,68,14,12,82,82,2,10,22,6,72,84
75,31,3,41,66,90,74,86,24,77,12,48,74,32,90,100,62,46,2,86,10,10,12,56,10,30,10,84,32,76,92,34,82,22
